word,frequency
brow,2
coffee,1
baths,1
people44,1
AwardsGomez,1
different,2
pat,1
Complete,1
media,1
same,3
world”,1
Silver,1
week,4
finish,3
I,39
BFF’s,1
edges,4
man41,1
advertisement,1
of Fallout,1
totally,5
Is,1
It,4
Campus,4
jersey,1
In,3
very,2
model,1
If,7
outdoor,1
Service,1
being,3
money,1
rest,1
InWhatever,1
CampusEyes,1
it’s,17
with yourself,1
4,3
extensive,1
makeupbymaquillagecom,1
around,2
read,2
Many,1
TienOne,1
dark,8
mom,2
using,1
lady,1
hovel,1
“Breaking,1
acquainted,1
potatoes,1
Man,1
FSU,1
Ugh40,1
images,1
He’s,2
with Kris,1
stops,1
LACruz,1
LAGraham,1
Begins,1
football,1
notable,1
exciting,1
majoring,2
of,96
industry,2
favorite,5
chop,1
stand,1
CampusHaving,1
or,28
No,3
coupon,1
Kardashian-WestLet’s,1
Add,2
determine,1
Nu,1
giftMusic,1
her,32
NO,1
there,5
Luckily,1
lot,7
bubble,1
assumes,1
musicWatchNow,1
eyeliner,4
beret,1
*poop,1
with,58
buying,1
games38,1
Duty,1
pull,2
favoriteHarley,1
face-down,1
sadness,1
darker,1
gone,1
taste,1
certain,1
frootibeauty3,1
am,5
deep,1
an,11
How,1
as,19
sandbox-style,2
at,29
minoring,2
film,1
cream,4
again,1
Dark,1
Watson,1
5,2
you,63
At,1
Country,1
oneShaving,1
gifts,2
lipstick,1
Fordham,1
sobbing,1
fangirling,1
Year,1
fallout,3
manVideo,1
handful32,1
all,19
Van,1
Winter,1
sparkly,1
follow,4
opportunities,1
to,128
they’re,2
HousematesDo,1
Theft,1
smile,1
activities,1
woman,2
sitting,1
far,1
StrawYou,1
fan,2
decide,1
fall,1
I'm,2
manageable,1
sentimental,1
washing,1
dampen,1
Don't,1
list,3
these,2
small,2
NYCLawrence,1
20th,1
Matt’s,1
instagram,1
tea,1
answer2,1
past,1
zero,1
grays,1
further,1
will,9
what,4
stood,1
Scrolls,1
pinterest,1
him6,1
Skyrim”,1
burgundy,1
public,2
contrast,1
full,1
me31,1
hours,1
strong,1
Whole,1
yours Oh,1
Communication,1
allows,1
experience,2
pick,1
freelance,1
family,2
suddenly,1
vest,1
Salinger],1
texts,1
you’re,8
eye,9
Blend,1
two,1
