word,frequency
Twitter,2
up,9
signed,1
Adler,1
Radical,1
½,1
Women,2
minutes,1
Special,1
Editor,2
Johns,1
classic,1
Auburn-Opelika,1
am,14
pm and,1
Thursday,1
an,7
as,8
salads and,2
at,23
HC,1
muffins,1
plan,1
cafe,1
spends,1
makerWe,1
again,1
relations,1
Francisco,3
Families,1
us,2
national,1
no,5
May,1
tip,1
topped,1
field,1
setting,3
5,2
kickboxing,1
Philly,1
you,26
depot,1
2501,1
10,3
February,1
sunshine,1
energetic,1
students,5
stay,1
chance,1
Center,1
GoslingDo,1
Happy,1
 Yes,1
pizzas,1
meals,1
South,1
opened,1
Mexican,2
—,6
verve,1
space,2
today’s,1
interned,1
daily,1
code!,1
Street,5
Asian,2
time,7
apparel,1
fresh,1
baked,2
having,1
once,3
